,,Bron ABR+: export_AbrComplextypen_20150429T1621.xlsx,
AltLabel (c01),PrefLabel (c01),Uri,PrefLabel (dut)
DEPO,DEPO,78c8147a-9147-4908-aa18-d745b7a5cfc7,depot
EGKW,GW.KW,22d64edb-6806-47c2-b11e-8cb294003801,kleiwinning
EGMW,GW.MW,eda98bc1-ed94-4020-ae77-eaf37e3109e1,kalksteen-of mergelwinning
EGVU,GW.VSW,ff6edaee-bf4d-440d-92f6-0b617053adde,vuursteenwinning
EGX,GW.X,d6249f1b-457a-44f7-aa8e-2a6d8cc7b586,grondstofwinning
EGYW,GW.IJW,29a3a0f4-caaf-4969-a73c-5689b3a06df6,ijzerertswinning
EGZW,GW.VW,6ae3ab19-49ca-44a7-8b65-3a3395014bb9,veenwinning (inclusief zouthoudend veen t.b.v. zoutproductie)
EGVW,GW.VW,6ae3ab19-49ca-44a7-8b65-3a3395014bb9,veenwinning (inclusief zouthoudend veen t.b.v. zoutproductie)
EIB,IDNH.BR,70846f4f-f042-4b2f-a5df-2f20e538b900,bierbrouwerij
EIBB,IDNH.BB,530b6f9c-de63-437a-89b2-0e86ad10fb00,beenbewerking
EIGB,IDNH.GP,d955051b-9c6e-46eb-b345-f2ceed4946ac,glasproductie
EIHB,IDNH.HB,a65cb5a1-4f7d-472c-8569-a1a4afeae38b,houtbewerking / schrijnwerkerswerkplaats
EIHK,IDNH.HKB,4363b6d3-201a-4e52-9540-81565c54ae30,houtskool- of kolenbranderij
EIKB,IDNH.KB,6c95b4c4-867f-49e7-a625-955b43d1f896,kalkbranderij
EILL,IDNH.LL,aaaf737c-945c-4752-9cdd-fa447cab31d2,leerlooierij
EIM,IDNH.M,b8a82cc2-06f0-49d9-806d-4b48d0c07476,molen
EIMB,IDNH.MB,4e7262b9-d56f-48c7-b54c-648b8d275345,metaalbewerking / smederij / smelterij
EISM,IDNH.MB,4e7262b9-d56f-48c7-b54c-648b8d275345,metaalbewerking / smederij / smelterij
EIPB,IDNH.PB,4da951ec-8a4a-4b74-8022-d04be774d126,pottenbakkerij
EISB,IDNH.SB,beafa101-f53a-4097-b9f7-66bd02af919e,steen- of pannenbakkerij
EITN,IDNH.TN,ff058f9d-e9c3-4ea4-8ce6-0fbed1c30211,textielnijverheid
EIVB,IDNH.VB,b3d68e8d-c170-4f1a-aff5-fef86f67d27f,vuursteenbewerking
ELA,APVV.LA,f182d72c-2d22-47ae-b799-26dea01e770c,akker / tuin
ELCF,APVV.CF,5bee5d85-24e5-42be-a1e1-f9f2ca7affab,celtic field
ELDP,APVV.DP,7f8d3db9-d914-4f11-a1c0-9e6e6f4202a7,drenkplaats / dobbe
ELEK,APVV.EK,296533a2-040f-4a7e-abbb-e9358fb6d4d0,eendenkooi
ELVK,APVV.VK,9d776fde-40bf-415a-9aee-9ad11c93e897,veekraal / schaapskooi
ELX,APVV.X,14d8a70d-673c-4887-b6c3-af7dd7d073e3,agrarische productie en voedselvoorziening
ESCH,SV.X,ab0d0643-b026-4eb1-a5cf-e3ebfc0471be,scheepvaart
EVX,APVV.VS,22f96b17-223f-4c52-a0ce-3a16569cc209,visserij
EX,IDNH.X,33a3ae2f-9659-436f-9b48-2da01ef064d1,industrie en nijverheid
EIX,IDNH.X,33a3ae2f-9659-436f-9b48-2da01ef064d1,industrie en nijverheid
GCV,BGV.VG,c884c504-6e71-4ee5-b15c-e5736312763a,vlakgraf
GIV,BGV.VG,c884c504-6e71-4ee5-b15c-e5736312763a,vlakgraf
GXV,BGV.VG,c884c504-6e71-4ee5-b15c-e5736312763a,vlakgraf
GD,BGV.DIER,424390ff-b53f-46c6-8c41-cbaf043d4459,dierengraf
