Bron oude ABR: (/easy-business/src/main/resources/easy-business/discipline/emd/choicelist/archaeology/dcterms/temporal.xml) TABEL 9: PERIODE Datering Nederlandse geschiedenis volgens het R.O.B. (http://home.zonnet.nl/postbus/datering.html),,Bron ABR+: export_AbrPeriodes_20150624T1442.xlsx,
Code huidige oude ABR,ABR-Plus CODE PrefLabel (c01),Uri,PrefLabel (dut)
BRONS,BRONS,8072a357-c9aa-4cd8-b8ba-c06a8e176431,Bronstijd
BRONSL,BRONSL,98a715d8-cd51-4125-b1b3-4c8d489f85bf,Late Bronstijd
BRONSM,BRONSM,405d4012-5845-4837-8051-2a559679c30e,Midden Bronstijd
BRONSMA,BRONSMA,efbd65be-d4bd-4a74-84a9-41f9b60e77e5,Midden Bronstijd A
BRONSMB,BRONSMB,bb71782d-72ed-4f57-9736-424747358be5,Midden Bronstijd B
BRONSV,BRONSV,6264b6bd-899e-4c34-a88e-03a36e1d4008,Vroege Bronstijd
IJZ,IJZ,0e341d8a-d304-40fe-8dda-dd3845bb1f7f,IJzertijd
IJZL,IJZL,e07ff2d6-1da1-4ede-9b4b-175ba229a683,Late IJzertijd
IJZM,IJZM,09a34060-105b-4e11-91a7-9d3484bc318d,Midden IJzertijd
IJZV,IJZV,7955ec8c-463d-4fd1-bb83-eb8451c3bd28,Vroege IJzertijd
LME,MEL,ee2993b8-96d0-43cf-a350-a055476d2707,Late Middeleeuwen
LMEA,MELA,f9d59f22-0ed5-435d-bd8c-e8c3b84875d5,Late Middeleeuwen A
LMEB,MELB,2c559d8a-4b5e-4a53-a556-b4e2e7d7dd9d,Late Middeleeuwen B
MESO,MESO,5142431c-0520-489b-afef-60940d9f7c50,Mesolithicum
MESOL,MESOL,bb506c03-f2ee-4076-a8b5-3bce5fa5c795,Laat Mesolithicum
MESOM,MESOM,94bffc3e-84e1-4511-8a12-ebfaaa9b9eda,Midden Mesolithicum
MESOV,MESOV,6009967f-59c9-4e25-8268-4711c3c07235,Vroeg Mesolithicum
NEO,NEO,c6134150-77f2-481b-bba6-c482e59046e8,Neolithicum
NEOL,NEOL,c699990c-73d3-4e47-926f-5c22adec98de,Laat Neolithicum
NEOLA,NEOLA,547f2d1a-b9e4-4e61-b040-551eecfa56b1,Laat Neolithicum A
NEOLB,NEOLB,282e4b83-22c6-4df2-84d1-ef7d68bd3d5d,Laat Neolithicum B
NEOM,NEOM,f2309bfe-56df-4f2f-b390-49f78018abcd,Midden Neolithicum
NEOMA,NEOMA,ab077a87-4056-4f69-a417-de8bbeb9765d,Midden Neolithicum A
NEOMB,NEOMB,77d4167b-9903-4abf-99ef-e28f92f618a7,Midden Neolithicum B
NEOV,NEOV,b8863167-1809-4a9a-8cd6-cc8aaeafa7e6,Vroeg Neolithicum
NEOVA,NEOVA,94f541a6-6ec9-47b1-927c-9b09cf448cd7,Vroeg Neolithicum A
NEOVB,NEOVB,4655bf21-5d2b-4267-a8ac-8f75c21bde8b,Vroeg Neolithicum B
NT,NT,c6858173-5ca2-4319-b242-f828ec53d52d,Nieuwe Tijd
NTA,NTV,482e37cc-61f5-4e21-a331-e342ffadeff6,Nieuwe Tijd Vroeg
NTB,NTM,8c50361f-9c6b-4422-a2f5-4710ee1688ec,Nieuwe Tijd Midden
NTC,NTL,ab1eb6b7-ecda-407a-a4ba-aaa3b6c66ec5,Nieuwe Tijd Laat
